id,loan_amount,funded_amount,funded_amount_investors,term,interest_rate,installment,employment_length,home_ownership,annual_income,verification_status,loan_status,purpose,debt_to_income_ratio,no_delinquency_2yrs,inquiries_last_6mths,no_open_accounts,public_records,revolving_balance,revolving_utillization,no_total_account,total_payment,total_payment_investors,total_received_principal,total_received_interest,last_payment_amnt,repay_fail
785219,4500.0,4500.0,4500.0,36,10.59,146.46,1,0,42000.0,2,0,13,10.91,0.0,2.0,8.0,0.0,7417.0,81.5,12.0,3186.13,3186.13,2445.51,623.22,146.46,1
827024,3975.0,3975.0,3975.0,60,17.49,99.84,6,4,22200.0,2,0,4,23.95,0.0,2.0,5.0,0.0,1720.0,71.7,5.0,374.67,374.67,83.79,114.39,99.84,1
720266,5000.0,5000.0,5000.0,36,14.17,171.31,9,4,36000.0,1,0,4,14.13,0.0,1.0,3.0,0.0,1377.0,98.4,8.0,2087.5,2087.5,1054.9,480.23,171.31,1
499190,4000.0,4000.0,4000.0,36,11.36,131.65,1,4,22000.0,1,0,7,10.53,0.0,0.0,2.0,0.0,7472.0,74.7,7.0,394.2,394.2,283.45,110.75,131.65,1
375241,12000.0,12000.0,2799.994326,36,13.16,405.25,8,0,81000.0,1,0,4,20.5,0.0,0.0,7.0,0.0,57822.0,78.5,17.0,9540.51,2224.95,7113.83,2205.08,405.25,1
431806,7500.0,7500.0,7250.0,36,13.92,256.03,7,4,50000.0,0,0,4,13.9,0.0,0.0,7.0,0.0,3676.0,70.5,11.0,3654.15,3532.16,2196.58,1219.18,100.68,1
534283,2000.0,2000.0,2000.0,36,11.12,65.6,3,4,49500.0,1,3,4,13.28,0.0,4.0,10.0,0.0,7766.0,84.7,35.0,1667.15,1667.15,1266.5,343.75,51.0,1
459545,15000.0,15000.0,14914.43639,36,12.53,502.0,1,0,84000.0,1,0,3,10.13,0.0,0.0,8.0,0.0,15690.0,52.1,22.0,9034.92,8975.71,6785.07,2229.51,502.0,1
635771,4500.0,4500.0,4000.0,36,9.99,145.19,3,0,38000.0,0,0,13,14.46,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1446.2,1284.9,1114.15,332.05,145.19,1
599608,25000.0,25000.0,9749.999148,36,17.56,898.31,1,0,106000.0,2,0,3,14.0,0.0,0.0,7.0,0.0,28282.0,98.2,31.0,13567.7,5280.1,5987.05,4145.95,400.24,1
535304,5000.0,5000.0,5000.0,60,16.82,123.78,3,0,31656.0,1,3,0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,3451.23,3451.23,630.78,724.2,123.78,1
166747,5000.0,5000.0,349.9920453,36,11.86,165.74,6,3,40000.0,1,0,4,7.02,2.0,0.0,5.0,0.0,2197.0,75.8,13.0,2831.89,197.48,1997.01,653.65,707.96,1
528161,12000.0,12000.0,11652.2513,60,13.23,274.46,1,4,40000.0,1,0,4,20.49,0.0,2.0,6.0,0.0,3068.0,87.7,27.0,13342.32,12732.97,9031.25,4311.07,600.0,1
496060,5000.0,5000.0,5000.0,36,15.7,175.06,1,4,36000.0,1,0,12,3.17,0.0,0.0,7.0,0.0,2600.0,65.0,9.0,1302.73,1302.73,644.84,429.07,200.0,1
780636,9750.0,9750.0,9750.0,36,17.19,348.54,3,4,20800.0,1,0,7,11.71,0.0,1.0,5.0,0.0,6865.0,98.1,6.0,4919.85,4919.85,2954.54,1565.95,348.54,1
507228,6000.0,6000.0,6000.0,36,11.36,197.47,2,4,46680.0,1,0,12,6.56,0.0,0.0,9.0,0.0,4370.0,40.1,10.0,5802.04,5802.04,4658.83,1055.62,197.47,1
1030851,7200.0,7200.0,7200.0,36,11.71,238.15,6,0,26453.0,1,0,4,21.55,0.0,2.0,10.0,0.0,6695.0,82.7,13.0,3805.6,3805.6,2888.44,917.16,238.15,1
1018997,24000.0,24000.0,23775.0,60,12.69,542.28,10,0,66000.0,0,0,4,6.2,0.0,1.0,7.0,0.0,16952.0,81.9,18.0,10301.57,10204.95,6006.42,4295.15,53.0,1
654310,9600.0,9600.0,9600.0,60,10.74,207.49,4,3,33000.0,0,0,4,17.24,0.0,1.0,16.0,0.0,12087.0,39.0,40.0,1672.51,1672.51,1001.92,655.6,222.49,1
764940,25000.0,25000.0,24778.19492,60,21.74,686.79,9,3,80000.0,0,0,3,14.41,0.0,1.0,8.0,0.0,6114.0,74.5,17.0,15516.96,15238.48,5898.03,8523.17,34.23,1
598855,5000.0,5000.0,4975.0,36,13.23,169.03,6,0,60000.0,1,0,0,5.66,1.0,1.0,8.0,0.0,2613.0,19.8,18.0,1207.26,1201.24,700.51,310.73,169.03,1
728464,30000.0,30000.0,29975.0,60,13.43,689.22,5,0,110000.0,0,0,1,25.67,0.0,3.0,8.0,0.0,26791.0,80.7,49.0,19054.34,19038.58,9658.63,6643.22,202.11,1
587654,8000.0,7900.0,7875.0,60,16.82,195.58,1,0,62000.0,2,3,4,22.32,0.0,4.0,19.0,0.0,19879.0,78.6,44.0,4442.06,4428.08,2037.55,2069.18,35.28,1
782727,24000.0,16450.0,16425.0,60,18.07,418.35,10,4,72000.0,0,0,4,21.08,1.0,2.0,7.0,0.0,19662.0,80.6,23.0,2503.26,2499.48,1060.27,1442.99,418.35,1
412286,3000.0,3000.0,2950.0,36,11.89,99.5,4,0,47000.0,0,3,4,24.59,0.0,1.0,18.0,1.0,62265.0,68.5,44.0,1782.72,1753.2,1361.03,421.69,99.5,1
1031521,35000.0,35000.0,33304.82184,60,20.3,933.14,10,4,75000.0,0,0,4,19.28,0.0,0.0,13.0,0.0,28737.0,82.6,16.0,29456.88,25712.93,12074.91,14053.01,26.52,1
451204,9250.0,9250.0,9225.0,36,8.94,293.89,1,4,24000.0,1,0,4,22.25,0.0,0.0,9.0,0.0,6738.0,28.2,13.0,8174.78,8152.7,907.81,264.87,293.89,1
521253,3200.0,3200.0,3200.0,60,18.67,82.43,1,4,18000.0,2,0,4,18.4,0.0,2.0,3.0,0.0,2742.0,74.1,5.0,3427.22,3427.22,32.51,49.58,82.43,1
744604,6500.0,6500.0,6500.0,60,10.99,141.3,10,0,63000.0,2,0,3,22.02,0.0,0.0,14.0,0.0,20898.0,68.5,44.0,1604.3,1604.3,848.44,558.26,141.3,1
879160,20000.0,18075.0,17890.69981,60,19.91,477.98,6,0,95000.0,0,0,4,17.49,0.0,1.0,17.0,0.0,39621.0,82.0,29.0,5728.68,5324.16,2340.35,3388.33,477.98,1
