loan_amount,funded_amount,funded_amount_investors,installment,loan_status,total_payment,total_payment_investors,total_received_principal,total_received_interest,repay_fail
4500,4500,4500,146.46,0,3186.13,3186.13,2445.51,623.22,1
3975,3975,3975,99.84,0,374.67,374.67,83.79,114.39,1
5000,5000,5000,171.31,0,2087.5,2087.5,1054.9,480.23,1
4000,4000,4000,131.65,0,394.2,394.2,283.45,110.75,1
12000,12000,2799.994326,405.25,0,9540.51,2224.95,7113.83,2205.08,1
7500,7500,7250,256.03,0,3654.15,3532.16,2196.58,1219.18,1
2000,2000,2000,65.6,3,1667.15,1667.15,1266.5,343.75,1
15000,15000,14914.43639,502,0,9034.92,8975.71,6785.07,2229.51,1
4500,4500,4000,145.19,0,1446.2,1284.9,1114.15,332.05,1
25000,25000,9749.999148,898.31,0,13567.7,5280.1,5987.05,4145.95,1
5000,5000,5000,123.78,3,3451.23,3451.23,630.78,724.2,1
5000,5000,349.9920453,165.74,0,2831.89,197.48,1997.01,653.65,1
12000,12000,11652.2513,274.46,0,13342.32,12732.97,9031.25,4311.07,1
5000,5000,5000,175.06,0,1302.73,1302.73,644.84,429.07,1
9750,9750,9750,348.54,0,4919.85,4919.85,2954.54,1565.95,1
6000,6000,6000,197.47,0,5802.04,5802.04,4658.83,1055.62,1
7200,7200,7200,238.15,0,3805.6,3805.6,2888.44,917.16,1
24000,24000,23775,542.28,0,10301.57,10204.95,6006.42,4295.15,1
9600,9600,9600,207.49,0,1672.51,1672.51,1001.92,655.6,1
25000,25000,24778.19492,686.79,0,15516.96,15238.48,5898.03,8523.17,1
5000,5000,4975,169.03,0,1207.26,1201.24,700.51,310.73,1
30000,30000,29975,689.22,0,19054.34,19038.58,9658.63,6643.22,1
8000,7900,7875,195.58,3,4442.06,4428.08,2037.55,2069.18,1
24000,16450,16425,418.35,0,2503.26,2499.48,1060.27,1442.99,1
3000,3000,2950,99.5,3,1782.72,1753.2,1361.03,421.69,1
35000,35000,33304.82184,933.14,0,29456.88,25712.93,12074.91,14053.01,1
9250,9250,9225,293.89,0,8174.78,8152.7,907.81,264.87,1
3200,3200,3200,82.43,0,3427.22,3427.22,32.51,49.58,1
6500,6500,6500,141.3,0,1604.3,1604.3,848.44,558.26,1
20000,18075,17890.69981,477.98,0,5728.68,5324.16,2340.35,3388.33,1
20000,20000,2125.003567,704.63,3,5636.14,598.4,3651.71,1984.43,1
7750,7750,5650.003093,258.2,0,1031.12,751.32,727.21,303.91,1
11250,11250,11250,261.71,0,522.28,522.28,262.06,260.22,1
5000,5000,4950,174.08,0,750,742.5,290.03,247.97,1
6500,6500,6500,218.02,0,1737.44,1737.44,1235.05,502.39,1
